,address,rooms,seg,floors,mat,floor,area,area_kitchen,balk,metro,repair,lat,lng,floor_in_house,floor_from_floors,main_corr
12,"Москва, НАО (Новомосковский), Сосенское поселение, бул. Веласкеса, 2",1,2,13.0,3,3.0,37.2,7.8,1,15.0,2,55.591538,37.455714,10.0,2,-4.5
13,"Москва, НАО (Новомосковский), Сосенское поселение, бул. Веласкеса, 2",1,2,13.0,3,5.0,37.8,8.0,1,15.0,2,55.591538,37.455714,8.0,2,-4.5
14,"Москва, НАО (Новомосковский), Сосенское поселение, бул. Веласкеса, 2",1,2,13.0,3,7.0,38.1,9.0,1,15.0,2,55.591538,37.455714,6.0,2,-4.5
15,"Москва, НАО (Новомосковский), Сосенское поселение, бул. Веласкеса, 2",1,2,13.0,3,9.0,35.5,6.0,1,15.0,2,55.591538,37.455714,4.0,2,-4.5
16,"Москва, НАО (Новомосковский), Сосенское поселение, бул. Веласкеса, 2",1,2,13.0,3,13.0,35.1,6.5,1,15.0,2,55.591538,37.455714,0.0,3,-4.5
17,"Москва, НАО (Новомосковский), Сосенское поселение, бул. Веласкеса, 2",1,2,13.0,3,10.0,36.8,6.7,1,15.0,2,55.591538,37.455714,3.0,2,-4.5
18,"Москва, НАО (Новомосковский), Сосенское поселение, бул. Веласкеса, 2",1,2,13.0,3,12.0,37.9,7.3,1,15.0,2,55.591538,37.455714,1.0,2,-4.5
19,"Москва, НАО (Новомосковский), Сосенское поселение, бул. Веласкеса, 2",1,2,13.0,3,13.0,33.1,6.2,1,15.0,2,55.591538,37.455714,0.0,3,-4.5
20,"Москва, НАО (Новомосковский), Сосенское поселение, бул. Веласкеса, 2",1,2,13.0,3,6.0,31.0,6.8,1,15.0,2,55.591538,37.455714,7.0,2,-4.5
0,"Москва, НАО (Новомосковский), Сосенское поселение, бул. Веласкеса, 2",2,0,13.0,3,1.0,37.5,9.8,1,15.0,1,55.591538,37.455714,12.0,1,-4.5
1,"Москва, НАО (Новомосковский), Сосенское поселение, бул. Веласкеса, 2",2,0,13.0,3,7.0,53.7,11.3,1,15.0,1,55.591538,37.455714,6.0,2,-4.5
2,"Москва, НАО (Новомосковский), Сосенское поселение, бул. Веласкеса, 2",2,0,13.0,3,9.0,45.4,15.0,1,15.0,1,55.591538,37.455714,4.0,2,-4.5
3,"Москва, НАО (Новомосковский), Сосенское поселение, бул. Веласкеса, 2",2,0,13.0,3,3.0,42.7,9.7,1,15.0,1,55.591538,37.455714,10.0,2,-4.5
4,"Москва, НАО (Новомосковский), Сосенское поселение, бул. Веласкеса, 2",2,0,13.0,3,4.0,43.0,6.0,1,15.0,1,55.591538,37.455714,9.0,2,-4.5
5,"Москва, НАО (Новомосковский), Сосенское поселение, бул. Веласкеса, 2",2,0,13.0,3,8.0,42.5,3.6,1,15.0,1,55.591538,37.455714,5.0,2,-4.5
6,"Москва, НАО (Новомосковский), Сосенское поселение, бул. Веласкеса, 2",2,0,13.0,3,10.0,44.7,9.8,1,15.0,1,55.591538,37.455714,3.0,2,-4.5
7,"Москва, НАО (Новомосковский), Сосенское поселение, бул. Веласкеса, 2",2,0,13.0,3,13.0,57.5,11.6,1,15.0,1,55.591538,37.455714,0.0,3,-4.5
8,"Москва, НАО (Новомосковский), Сосенское поселение, бул. Веласкеса, 2",2,0,13.0,3,11.0,53.4,9.7,1,15.0,1,55.591538,37.455714,2.0,2,-4.5
9,"Москва, НАО (Новомосковский), Сосенское поселение, бул. Веласкеса, 2",2,0,13.0,3,6.0,46.2,9.5,1,15.0,1,55.591538,37.455714,7.0,2,-4.5
11,"Москва, НАО (Новомосковский), Сосенское поселение, бул. Веласкеса, 2",2,0,13.0,3,10.0,56.3,10.8,1,15.0,1,55.591538,37.455714,3.0,2,-4.5
12,"Москва, НАО (Новомосковский), Сосенское поселение, бул. Веласкеса, 2",2,0,13.0,3,11.0,60.2,11.1,1,15.0,1,55.591538,37.455714,2.0,2,-4.5
13,"Москва, НАО (Новомосковский), Сосенское поселение, бул. Веласкеса, 2",2,0,13.0,3,5.0,43.1,14.8,1,15.0,1,55.591538,37.455714,8.0,2,-4.5
14,"Москва, НАО (Новомосковский), Сосенское поселение, бул. Веласкеса, 2",2,0,13.0,3,9.0,46.0,9.4,1,15.0,1,55.591538,37.455714,4.0,2,-4.5
15,"Москва, НАО (Новомосковский), Сосенское поселение, бул. Веласкеса, 2",2,0,13.0,3,1.0,57.0,10.4,1,15.0,1,55.591538,37.455714,12.0,1,-4.5
16,"Москва, НАО (Новомосковский), Сосенское поселение, бул. Веласкеса, 2",2,0,13.0,3,13.0,54.2,11.0,1,15.0,1,55.591538,37.455714,0.0,3,-4.5
17,"Москва, НАО (Новомосковский), Сосенское поселение, бул. Веласкеса, 2",2,0,13.0,3,13.0,56.8,10.4,1,15.0,1,55.591538,37.455714,0.0,3,-4.5
18,"Москва, НАО (Новомосковский), Сосенское поселение, бул. Веласкеса, 2",2,0,13.0,3,7.0,63.2,9.8,1,15.0,1,55.591538,37.455714,6.0,2,-4.5
19,"Москва, НАО (Новомосковский), Сосенское поселение, бул. Веласкеса, 2",2,0,13.0,3,4.0,52.3,10.6,1,15.0,1,55.591538,37.455714,9.0,2,-4.5
0,"Москва, НАО (Новомосковский), Сосенское поселение, проспект Магеллана, 3",3,2,15.0,1,13.0,79.4,17.8,1,15.0,1,55.590287,37.445734,2.0,2,-4.5
1,"Москва, НАО (Новомосковский), Сосенское поселение, проспект Магеллана, 3",3,2,15.0,1,15.0,62.0,14.7,1,15.0,1,55.590287,37.445734,0.0,3,-4.5
2,"Москва, НАО (Новомосковский), Сосенское поселение, проспект Магеллана, 3",3,2,15.0,1,11.0,79.8,12.6,1,15.0,1,55.590287,37.445734,4.0,2,-4.5
3,"Москва, НАО (Новомосковский), Сосенское поселение, проспект Магеллана, 3",3,2,15.0,1,14.0,92.0,21.8,1,15.0,1,55.590287,37.445734,1.0,2,-4.5
4,"Москва, НАО (Новомосковский), Сосенское поселение, проспект Магеллана, 3",3,2,15.0,1,10.0,80.1,12.5,1,15.0,1,55.590287,37.445734,5.0,2,-4.5
5,"Москва, НАО (Новомосковский), Сосенское поселение, проспект Магеллана, 3",3,2,15.0,1,7.0,80.2,18.4,1,15.0,1,55.590287,37.445734,8.0,2,-4.5
6,"Москва, НАО (Новомосковский), Сосенское поселение, проспект Магеллана, 3",3,2,15.0,1,14.0,74.2,15.2,1,15.0,1,55.590287,37.445734,1.0,2,-4.5
7,"Москва, НАО (Новомосковский), Сосенское поселение, проспект Магеллана, 3",3,2,15.0,1,8.0,76.4,15.2,1,15.0,1,55.590287,37.445734,7.0,2,-4.5
8,"Москва, НАО (Новомосковский), Сосенское поселение, проспект Магеллана, 3",3,2,15.0,1,14.0,66.8,15.1,1,15.0,1,55.590287,37.445734,1.0,2,-4.5
10,"Москва, НАО (Новомосковский), Сосенское поселение, проспект Магеллана, 3",3,2,15.0,1,6.0,74.6,14.8,1,15.0,1,55.590287,37.445734,9.0,2,-4.5
11,"Москва, НАО (Новомосковский), Сосенское поселение, проспект Магеллана, 3",3,2,15.0,1,4.0,62.0,11.8,1,15.0,1,55.590287,37.445734,11.0,2,-4.5
12,"Москва, НАО (Новомосковский), Сосенское поселение, проспект Магеллана, 3",3,2,15.0,1,13.0,75.8,12.8,1,15.0,1,55.590287,37.445734,2.0,2,-4.5
13,"Москва, НАО (Новомосковский), Сосенское поселение, проспект Магеллана, 3",3,2,15.0,1,9.0,70.4,15.8,1,15.0,1,55.590287,37.445734,6.0,2,-4.5
14,"Москва, НАО (Новомосковский), Сосенское поселение, проспект Магеллана, 3",3,2,15.0,1,3.0,70.8,15.2,1,15.0,1,55.590287,37.445734,12.0,2,-4.5
15,"Москва, НАО (Новомосковский), Сосенское поселение, проспект Магеллана, 3",3,2,15.0,1,12.0,81.73,15.1,1,15.0,1,55.590287,37.445734,3.0,2,-4.5
16,"Москва, НАО (Новомосковский), Сосенское поселение, проспект Магеллана, 3",3,2,15.0,1,1.0,93.2,25.0,1,15.0,1,55.590287,37.445734,14.0,1,-4.5
17,"Москва, НАО (Новомосковский), Сосенское поселение, проспект Магеллана, 3",3,2,15.0,1,12.0,73.4,16.1,1,15.0,1,55.590287,37.445734,3.0,2,-4.5
18,"Москва, НАО (Новомосковский), Сосенское поселение, проспект Магеллана, 3",3,2,15.0,1,15.0,66.7,17.3,1,15.0,1,55.590287,37.445734,0.0,3,-4.5
