index,1,2,3,4,5,6
1,0,6,14,21,28,31
2,-6,0,7,14,21,24
3,-12,-7,0,6,13,16
4,-17,-12,-6,0,6,9
5,-22,-17,-11,-6,0,3
6,-24,-19,-13,-8,-3,0
